Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SI,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
37,0,41514.34481,21208.50233,0,0,0,0,0,46322.34347,362579.2814,162758.5498,23691.25889,145447.5437,0,0,0,0,145321.9609,0,12944.41952,90178.87317,0,0,0,370670.3431,602649.0744,114902.3596,12443.33316,0,105291.9314,771928.5242,311876.803,378384.2251,638036.7482,452093.8865,19507.37997,0,60362.51125,8918.354407,66726.64323,0
38,0,53046.01862,16832.2879,0,0,0,0,0,60828.2401,382395.4734,173517.1199,20222.55187,112273.1167,0,0,0,0,107914.9089,0,18703.95899,129511.5397,0,0,0,298771.8072,553534.7474,101929.7067,10037.30783,0,112767.5873,862163.5977,304782.7933,373460.6989,658182.0789,359119.4898,15479.71935,0,79265.10302,10650.61748,67164.85405,0
39,0,46525.54949,17055.80962,0,0,0,0,0,56970.2143,308310.6679,181529.716,40061.70444,106301.0784,0,0,0,0,107357.9242,0,21772.30299,109495.4001,0,0,0,289333.3816,593222.8292,109399.9648,9803.625503,0,231260.9956,808030.9756,318189.9403,397190.5303,679962.8203,311056.7911,30124.57066,0,74237.72081,8079.226971,77618.59432,0
40,0,28960.00872,29512.88543,0,0,0,0,0,44803.36472,279094.436,252891.994,49538.00674,126781.7923,0,0,0,0,107089.941,0,17391.96358,66146.4756,0,0,0,297260.2549,628212.827,131677.3418,9849.760211,0,304909.4933,742378.2145,257774.0781,375976.6328,589150.9059,387320.2215,20842.56605,0,58383.13445,805.1222718,66045.2053,0
41,0,47755.61597,20792.53143,0,0,0,0,0,39054.87624,300671.7548,281044.7376,89763.73766,146714.3093,0,0,0,0,89506.13933,0,16472.16252,79579.4402,0,0,0,399624.5441,795654.5039,177867.97,13918.64089,0,334565.4354,928858.0843,372297.6772,411162.5908,660296.7822,361483.5163,26418.39954,0,50892.29581,5948.903444,68461.39524,0
42,0,41142.61266,29281.34499,0,0,0,0,0,22047.72126,401055.9885,325775.4734,105658.2046,142618.3669,0,0,0,0,92520.01204,0,66578.75165,106641.8223,0,0,0,367109.6193,833110.8454,209488.1846,10602.95947,0,311839.6419,962655.5053,303311.265,463684.2164,662980.0187,346509.8803,70367.01863,0,28730.32154,4262.647357,126024.809,0
43,0,38104.93876,31515.55983,0,0,0,0,0,34784.31304,339081.1897,276357.9547,86181.31903,118782.3277,0,0,0,0,93804.12949,0,75817.8875,105752.7729,0,0,0,376794.788,745149.6002,232760.5262,14648.7728,0,281404.5469,1005631.94,290317.1082,482022.0443,594730.9549,232556.1751,49419.9685,0,45327.3373,8657.314763,107792.8266,0
44,0,23173.4314,41117.97263,0,0,0,0,0,35827.67221,424862.3277,234023.6871,78670.31549,112418.4339,0,0,0,0,86819.30121,0,79970.53351,104186.1617,0,0,0,289237.0916,746428.8907,241686.1206,20299.27163,0,298817.661,948956.6663,223776.5605,371072.1667,424585.0814,221591.5932,25547.36393,0,46686.93561,10933.66047,89737.73672,0
45,0,32803.36819,52483.50067,0,0,0,0,0,35620.4022,494072.4062,327615.1359,74040.34131,112110.7622,0,0,0,0,105387.2092,0,105862.3817,104720.3931,0,0,0,346556.7204,846110.2813,256825.2286,21181.84866,0,291190.5867,1035123.095,235601.9148,314689.3649,485256.7092,382898.7091,34726.89376,0,46416.84266,11927.81144,103874.056,0
46,0,68481.67774,44096.92574,0,0,0,0,0,49948.06665,475113.6843,235466.7756,64136.36263,122305.0185,0,0,0,0,101381.4734,0,97273.22524,129073.53,0,0,0,389293.43,864166.7243,270108.808,22373.32764,0,273754.4089,990722.9355,222744.0849,300716.3012,433768.8495,326023.2191,42448.66966,0,65087.1806,17739.69408,102155.3851,0
47,0,52545.05769,16674.92059,0,0,0,0,0,37031.24008,450706.9153,271444.8443,63445.03634,102466.7071,0,0,0,0,76121.24163,0,90249.83698,126666.9827,0,0,0,320764.0409,782351.2867,247827.419,26070.12187,0,287272.7614,970040.8268,272747.9818,268830.751,526922.0783,382595.5723,38209.02689,0,48255.30141,28441.31931,102400.6224,0
48,0,61457.05685,20986.9853,0,0,0,0,0,44509.98253,557206.8981,499034.2194,75537.71179,109520.1062,0,0,0,0,108027.0064,0,87320.91757,157662.4309,0,0,0,417935.6915,963418.0087,304601.5816,30428.84887,0,308742.0831,1200352.369,411695.1425,512145.0364,701073.7553,547035.1684,42555.16305,0,58000.82898,36265.50755,104842.9441,0
49,0,61058.20261,14704.32106,0,0,0,0,0,41890.57026,424489.8203,441477.922,133947.2361,128165.8139,0,0,0,0,102289.2634,0,76948.33003,144702.5568,0,0,0,325744.0391,948435.4721,292301.934,24004.08929,0,291132.426,1078110.559,359945.0587,580486.5496,696332.9697,508296.629,40584.03056,0,54587.48045,23948.63702,120981.3642,0
50,0,50257.22977,18570.34466,0,0,0,0,0,34125.45475,627157.9753,422840.9499,163570.618,143274.8001,0,0,0,0,93634.48186,0,98528.04653,117554.9784,0,0,0,432162.5383,1025875.656,308497.1888,24576.76143,0,333915.64,1212806.953,353618.8901,646172.6892,748923.8041,499918.4206,59516.74806,0,44468.78099,30152.57919,135915.7097,0
51,0,83323.84175,23508.87158,0,0,0,0,0,35391.1035,756390.9538,334843.5971,136492.1622,119015.8375,0,0,0,0,61992.6968,0,100017.5826,154983.2551,0,0,0,376827.8877,870335.5913,302874.4355,28834.19265,0,314801.8267,945259.995,339597.2698,590458.9975,618587.2941,384066.8069,45863.49092,0,46118.04419,20880.17102,129652.1091,0
52,0,16206.24552,16530.5837,0,0,0,0,0,28393.98845,547861.0776,270734.8167,139593.5706,83866.09795,0,0,0,0,34009.09513,0,83917.55334,83072.49211,0,0,0,393556.2683,899471.5318,321417.6864,33580.05003,0,336653.2041,902512.1579,336746.4342,536991.3887,665337.3764,139310.377,30270.24559,0,37000.12389,1592.24181,111817.1297,0
