ID,Country,Name,Type,Electric_capacity,Thermal capacity,zone_el,Latitude,Longitude,demand_price
Electric heat pump513DK,DK,Name342,Electric heat pump,0,1.3,DK1,56.35917774,9.918315093,19.93305595
Electric heat pump514DK,DK,Name343,Electric heat pump,0,1.5,DK1,56.3531,9.5048,26.51772205
Electric heat pump515DK,DK,Name344,Electric heat pump,0,1.2,DK1,56.3009,9.7893,25.06222307
Electric heat pump516DK,DK,Name345,Electric heat pump,0,1,DK1,56.3003,10.4768,21.86690678
Electric heat pump517DK,DK,Name346,Electric heat pump,0,9,DK1,55.4767,8.6992,17.56581676
Electric boiler1FI,FI,Name347,Electric boiler,0,40,FI,0,0,15.48012288
Electric boiler2FI,FI,Name348,Electric boiler,0,100,FI,0,0,16.23836965
Electric boiler3FI,FI,Name349,Electric boiler,0,30,FI,0,0,16.58547744
Electric boiler4FI,FI,Name350,Electric boiler,0,45,FI,0,0,12.4766065
Electric boiler5FI,FI,Name351,Electric boiler,0,60,FI,0,0,11.0552571
Electric boiler6FI,FI,Name352,Electric boiler,0,50,FI,0,0,9.534769747
Electric boiler7FI,FI,Name353,Electric boiler,0,50,FI,0,0,13.24084995
Electric boiler8FI,FI,Name354,Electric boiler,0,50,FI,0,0,18.41421785
Electric boiler9FI,FI,Name355,Electric boiler,0,120,FI,0,0,9.122606077
Electric boiler10FI,FI,Name356,Electric boiler,0,13,FI,0,0,15.18572983
Electric boiler11FI,FI,Name357,Electric boiler,0,40,FI,0,0,14.09259469
Electric boiler12FI,FI,Name358,Electric boiler,0,20,FI,0,0,14.52998491
Electric boiler13FI,FI,Name359,Electric boiler,0,280,FI,0,0,11.10934073
Electric boiler14FI,FI,Name360,Electric boiler,0,50,FI,0,0,11.02391082
Electric boiler15FI,FI,Name361,Electric boiler,0,40,FI,0,0,13.69174901
Electric boiler16FI,FI,Name362,Electric boiler,0,20,FI,0,0,11.88814271
Electric boiler17FI,FI,Name363,Electric boiler,0,40,FI,0,0,14.10803445
