ID,country,name,capacity_el,storage_capacity,zone_el,charge_bid_price,discharge_bid_price
S483DE,DE,New BESSDE483,604.1810899,978.7733657,DELU,68.88747285,103.2465343
S484DE,DE,New BESSDE484,604.1810899,978.7733657,DELU,65.55531237,99.91437381
S485DE,DE,New BESSDE485,604.1810899,978.7733657,DELU,60.85938059,95.21844202
S486DE,DE,New BESSDE486,604.1810899,978.7733657,DELU,67.0343987,101.3934601
S487DE,DE,New BESSDE487,604.1810899,978.7733657,DELU,76.88899333,111.2480548
S488DE,DE,New BESSDE488,604.1810899,978.7733657,DELU,81.55752062,115.9165821
S489DE,DE,New BESSDE489,604.1810899,978.7733657,DELU,87.12578152,121.484843
S490DE,DE,New BESSDE490,604.1810899,978.7733657,DELU,88.92933768,123.2883991
S491DE,DE,New BESSDE491,604.1810899,978.7733657,DELU,87.09479491,121.4538563
S492DE,DE,New BESSDE492,604.1810899,978.7733657,DELU,61.32885808,95.68791951
S493DE,DE,New BESSDE493,604.1810899,978.7733657,DELU,64.04195962,98.40102106
S494DE,DE,New BESSDE494,604.1810899,978.7733657,DELU,84.00978347,118.3688449
S495DE,DE,New BESSDE495,604.1810899,978.7733657,DELU,60.21832587,94.5773873
S496DE,DE,New BESSDE496,604.1810899,978.7733657,DELU,87.64768528,122.0067467
S497DE,DE,New BESSDE497,604.1810899,978.7733657,DELU,83.48919193,117.8482534
S498DE,DE,New BESSDE498,604.1810899,978.7733657,DELU,74.48294421,108.8420056
S499DE,DE,New BESSDE499,604.1810899,978.7733657,DELU,70.3605052,104.7195666
S500DE,DE,New BESSDE500,604.1810899,978.7733657,DELU,75.53504044,109.8941019
S501DE,DE,New BESSDE501,604.1810899,978.7733657,DELU,63.27766341,97.63672485
S502DE,DE,New BESSDE502,604.1810899,978.7733657,DELU,70.26465755,104.623719
S503DE,DE,New BESSDE503,604.1810899,978.7733657,DELU,74.23759912,108.5966606
S504DE,DE,New BESSDE504,604.1810899,978.7733657,DELU,87.56108188,121.9201433
S505DE,DE,New BESSDE505,604.1810899,978.7733657,DELU,74.62333865,108.9824001
S506DE,DE,New BESSDE506,604.1810899,978.7733657,DELU,68.74389731,103.1029587
S507DE,DE,New BESSDE507,604.1810899,978.7733657,DELU,84.44125956,118.800321
S508DE,DE,New BESSDE508,604.1810899,978.7733657,DELU,77.29653871,111.6556001
S509DE,DE,New BESSDE509,604.1810899,978.7733657,DELU,81.51530178,115.8743632
S510DE,DE,New BESSDE510,604.1810899,978.7733657,DELU,87.57458362,121.9336451
S511DE,DE,New BESSDE511,604.1810899,978.7733657,DELU,66.3215766,100.680638
S512DE,DE,New BESSDE512,604.1810899,978.7733657,DELU,69.62558407,103.9846455
S513DE,DE,New BESSDE513,604.1810899,978.7733657,DELU,64.78925176,99.14831319
